idx,nm,addr,type,lat,lng
270,서라벌중학교,서울특별시 강북구 삼양로155길 37-9,학교,37.6569840292148,127.011488328327
271,동구여자중학교,서울특별시 성북구 성북로8길 71,학교,37.5941065881018,127.008215538987
272,남대문중학교,서울특별시 성북구 한천로 660-30,학교,37.6185360086599,127.055981121102
273,고명중학교,서울특별시 성북구 북악산로 870,학교,37.597674141541,127.019187491701
274,고려대학교사범대학부속중학교,서울특별시 성북구 정릉로 161,학교,37.6080476933587,127.002616144531
275,길음중학교,서울특별시 성북구 길음로 144,학교,37.6140334599191,127.017752359697
276,화계중학교,서울특별시 강북구 화계사길 63,학교,37.6325180593561,127.009709077901
277,종암중학교,서울특별시 성북구 종암로5길 80-17,학교,37.5929705982623,127.031747584508
278,장위중학교,서울특별시 성북구 장위로4길 70,학교,37.6112817727174,127.040874553779
279,인수중학교,서울특별시 강북구 인수봉로75길 10,학교,37.6437719058609,127.009667145786
280,월곡중학교,서울특별시 성북구 장월로 6,학교,37.6069823458659,127.048259362361
281,용문중학교,서울특별시 성북구 고려대로17가길 46,학교,37.5886903262008,127.024660795253
282,수유중학교,서울특별시 강북구 인수봉로37길 40,학교,37.6312894231046,127.010319655123
283,수송중학교,서울특별시 강북구 한천로122길 21,학교,37.6367599332935,127.03358552315
284,석관중학교,서울특별시 성북구 한천로 526,학교,37.608121575175,127.06671820308
285,삼선중학교,서울특별시 성북구 동소문로3길 69,학교,37.5917443908697,127.007872876935
286,삼각산중학교,서울특별시 강북구 삼양로19길 141,학교,37.6160412359101,127.014342650437
287,북악중학교,서울특별시 성북구 정릉로12길 41,학교,37.6070090504822,127.001609529397
288,번동중학교,서울특별시 강북구 오현로35길 87,학교,37.6324556910711,127.036206363566
289,개운중학교,서울특별시 성북구 북악산로 935,학교,37.5946266547149,127.024842114657
290,강북중학교,서울특별시 강북구 한천로150길 67,학교,37.6449158953693,127.025373389048
291,우촌초등학교,서울특별시 성북구 성북로4길 52-1,학교,37.5956408923336,127.011400646113
292,영훈초등학교,서울특별시 강북구 도봉로13가길 19,학교,37.6146818749027,127.02809331872
293,성신초등학교,서울특별시 성북구 북악산로 918,학교,37.5946226781717,127.023128563512
294,매원초등학교,서울특별시 성북구 북악산로 870,학교,37.597674141541,127.019187491701
295,대광초등학교,서울특별시 성북구 안암로 5,학교,37.5791510372431,127.023445857158
296,광운초등학교,서울특별시 성북구 한천로 694,학교,37.6189751371516,127.055243952183
297,서울화계초등학교,서울특별시 강북구 솔매로50가길 25,학교,37.6238849781413,127.02971619019
298,서울청덕초등학교,서울특별시 성북구 정릉로9라길 11,학교,37.6120328876191,127.000333434653
299,서울정수초등학교,서울특별시 성북구 정릉로24길 58,학교,37.6037748856219,127.007718883621
