stdr_yyqu_cd,adstrd_cd,adstrd_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,tmzon_00_06_flpop_co,tmzon_06_11_flpop_co,tmzon_11_14_flpop_co,tmzon_14_17_flpop_co,tmzon_17_21_flpop_co,tmzon_21_24_flpop_co,mon_flpop_co,tues_flpop_co,wed_flpop_co,thur_flpop_co,fri_flpop_co,sat_flpop_co,sun_flpop_co
20214,11170640,이촌2동,1860654.0,891849.0,968805.0,253400.0,194559.0,323687.0,317291.0,270318.0,501399.0,525269.0,404783.0,205851.0,211298.0,279401.0,234052.0,264742.0,264910.0,263797.0,263161.0,265282.0,268199.0,270562.0
20214,11170650,이태원1동,2514110.0,1276697.0,1237412.0,162840.0,629421.0,564457.0,404930.0,320386.0,432076.0,522304.0,453691.0,321167.0,350180.0,525274.0,341494.0,333274.0,329362.0,333623.0,339308.0,370113.0,423169.0,385260.0
20214,11170660,이태원2동,2954464.0,1409510.0,1544952.0,240406.0,509230.0,725295.0,555527.0,350959.0,573048.0,800029.0,611736.0,340588.0,338216.0,480495.0,383398.0,412895.0,407742.0,409319.0,410384.0,415999.0,448176.0,449948.0
20214,11170685,한남동,6180334.0,2993555.0,3186779.0,501930.0,1038946.0,1552074.0,1171164.0,836957.0,1079262.0,1390024.0,1263893.0,826746.0,860645.0,1115525.0,723501.0,859827.0,878701.0,889001.0,889607.0,902552.0,899145.0,861501.0
20214,11170690,서빙고동,1984174.0,932254.0,1051919.0,340053.0,241957.0,302529.0,390118.0,305249.0,404268.0,569900.0,433061.0,228002.0,222046.0,287872.0,243294.0,282881.0,281347.0,279814.0,279213.0,281441.0,287995.0,291482.0
20214,11170700,보광동,4306201.0,2186970.0,2119232.0,392868.0,675394.0,875818.0,771371.0,658729.0,932022.0,1313157.0,913749.0,445579.0,427843.0,621406.0,584468.0,617889.0,608305.0,605527.0,604079.0,607764.0,626008.0,636630.0
20214,11200520,왕십리2동,4293136.0,1915712.0,2377424.0,658820.0,626262.0,759190.0,700947.0,626739.0,921181.0,1203983.0,880545.0,462086.0,465973.0,699519.0,581031.0,611343.0,605714.0,602867.0,600174.0,600834.0,628327.0,643878.0
20214,11200535,왕십리도선동,6253304.0,2905951.0,3347353.0,828456.0,1133355.0,1127188.0,972962.0,972163.0,1219180.0,1506043.0,1285068.0,800730.0,809728.0,1089613.0,762122.0,895017.0,898039.0,900394.0,898004.0,900449.0,890883.0,870518.0
20214,11200540,마장동,5615051.0,2740252.0,2874800.0,729147.0,926502.0,922580.0,870429.0,868794.0,1297599.0,1339219.0,1253846.0,729592.0,707242.0,918273.0,666881.0,803944.0,809868.0,814897.0,817466.0,810870.0,786341.0,771664.0
20214,11200550,사근동,4267669.0,2045029.0,2222641.0,570633.0,1800563.0,536020.0,411226.0,366892.0,582336.0,1107491.0,883149.0,512808.0,500092.0,718078.0,546053.0,606840.0,617707.0,621196.0,618473.0,618519.0,603130.0,581805.0
20214,11200560,행당1동,4026649.0,1916161.0,2110488.0,554300.0,833157.0,691176.0,641349.0,569255.0,737412.0,906042.0,802485.0,506793.0,530614.0,776378.0,504339.0,571187.0,580744.0,582493.0,584965.0,586894.0,574717.0,545651.0
20214,11200570,행당2동,4887684.0,2187315.0,2700370.0,946993.0,562368.0,791694.0,822061.0,686410.0,1078158.0,1325633.0,1016677.0,542399.0,535369.0,805498.0,662108.0,698366.0,680824.0,681862.0,690863.0,689973.0,715569.0,730229.0
20214,11200580,응봉동,3058056.0,1402543.0,1655513.0,565687.0,299508.0,516426.0,544137.0,447650.0,684646.0,925830.0,643763.0,303169.0,301029.0,460395.0,423870.0,432559.0,429940.0,427205.0,425035.0,427240.0,452712.0,463366.0
20214,11200590,금호1가동,4082968.0,1816825.0,2266143.0,694959.0,389283.0,748915.0,737768.0,567635.0,944408.0,1083328.0,841518.0,452402.0,467713.0,694801.0,543205.0,575415.0,570886.0,566853.0,567570.0,568798.0,608998.0,624450.0
