listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd
864426,서울특별시 강남구 논현동,37.5085679026,127.0342067334,패스트푸드/피자,월세,0,25000000,30000000,2000000,50000,33.06,1층,T,3120194,11680531
864298,서울특별시 서초구 잠원동,37.5121140403,127.0192283423,분식,월세,0,50000000,80000000,4300000,200000,104.78,1층,T,3120185,11650540
473413,서울특별시 강남구 논현동,37.5159156886,127.0225548585,미용/네일/피부관리,월세,0,20000000,30000000,3200000,200000,66.1,1층,T,3120178,11680521
896512,서울특별시 강남구 논현동,37.5148729389,127.0281015599,사무실,월세,0,0,20000000,1240000,260000,86.0,2층,T,3120191,11680521
896655,서울특별시 강남구 논현동,37.5153849269,127.0398700105,사무실,월세,0,0,50000000,6500000,0,134.73,4층,T,3120203,11680531
897784,서울특별시 서초구 잠원동,37.5130042353,127.0192104732,사무실,월세,0,0,20000000,1300000,100000,46.3,4층,T,3120178,11650540
834542,서울특별시 강남구 논현동,37.5174672575,127.0304100986,양식/레스토랑,월세,0,50000000,40000000,4300000,0,138.81,1층,T,3120190,11680531
907520,서울특별시 강남구 논현동,37.5177802,127.0326816038,사무실,월세,0,0,100000000,9000000,0,254.0,1층,T,3110957,11680531
907665,서울특별시 강남구 논현동,37.5132497001,127.033584505,기타,월세,0,0,30000000,2200000,150000,101.71,2층,T,3110961,11680531
907664,서울특별시 강남구 논현동,37.5133632337,127.0264676887,기타,월세,0,0,60000000,6000000,0,198.4,4층,T,3120191,11680521
907663,서울특별시 강남구 논현동,37.5167360442925,127.028808095336,기타,월세,0,0,40000000,5000000,0,152.08,4층,T,3120190,11680521
